"metric","wasm_interpreted-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","315,864,844,809.49-345,321,844,535.51","9,258,639,590.82-11,909,226,468.68","True","29.84x-32.63x"
"instructions","259,233,686,296.41-292,184,788,414.09","6,730,663,518.58-8,726,271,786.32","True","33.54x-37.81x"
"cache-misses","144,973,343.17-163,682,916.53","25,815,307.32-35,812,864.38","True","4.67x-5.34x"
"cache-references","180,237,649,497.53-204,535,476,253.07","1,574,842,947.48-2,077,863,885.92","True","98.69x-111.99x"
"bus-cycles","156,616,499,214.26-175,999,475,259.54","4,340,667,565.05-5,658,724,069.35","True","31.32x-35.21x"
"page-faults","107,868.10-109,029.80","100,617.33-102,055.57","True","1.06x-1.08x"
"branch-instructions","29,099,310,309.68-33,315,415,675.32","658,205,457.40-870,970,041.90","True","38.06x-43.58x"
"branch-misses","1,807,076,773.43-2,020,017,886.97","49,122,605.72-70,152,364.28","True","30.29x-33.88x"
"major-faults","82.79-220.51","78.95-242.45","False","0.38x-1.74x"
"minor-faults","107,727.06-108,867.54","100,442.15-101,908.05","True","1.06x-1.08x"
"avg-memory-over-time-in-bytes","242,923,994.56-265,115,679.39","168,117,010.79-197,335,558.56","True","1.29x-1.49x"
"max-memory-over-time-in-bytes","331,935,096.64-355,252,461.76","318,368,349.41-353,831,535.39","False","0.96x-1.08x"
"cpu-total-utilization-percentage","24.98-25.14","23.68-31.72","False","0.94x-1.27x"
"cpu-user-utilization-percentage","24.90-25.06","21.05-28.97","False","0.84x-1.16x"
"cpu-system-utilization-percentage","0.08-0.11","2.96-3.62","True","31.85x-38.88x"
"instructions-per-cycle","0.79-0.89","0.68-0.80","True","1.03x-1.23x"
"cycles-per-instruction","1.14-1.29","1.25-1.55","True","1.02x-1.29x"
"wall-time-seconds","266.43-266.51","5.13-5.28","True","51.16x-51.20x"
